stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
"de:08125:4618:0:1","","Siegelsbach, Mitte","49.2706298","9.0898098","","","","0",""
"de:08125:4618:0:2","","Siegelsbach, Mitte","49.2713742","9.089702","","","","0",""
"de:08125:4619:0:1","","Siegelsbach, Siedlung","49.2721244","9.0842851","","","","0",""
"de:08125:4619:0:2","","Siegelsbach, Siedlung","49.2720717","9.0847792","","","","0",""
"de:08125:4620:0:1","","Siegelsbach Mührigweg","49.2715735","9.0778262","","","","0",""
"de:08125:4620:0:2","","Siegelsbach Mührigweg","49.2709698","9.0769908","","","","0",""
"de:08125:4622","","Obergimpern, Gewerbegebiet","49.2558979","9.0440406","","","","0",""
"de:08125:4622:0:1","","Obergimpern, Gewerbegebiet","49.2559448","9.0442562","","","","0",""
"de:08125:4624:0:1","","Obergimpern, Ortsmitte","49.2552588","9.0412648","","","","0",""
"de:08125:4624:0:2","","Obergimpern, Ortsmitte","49.2551533","9.041166","","","","0",""
"de:08125:4625:1:1","","Obergimpern Bahnhof","49.2553409","9.0441664","","","","0",""
"de:08125:4627:0:>Babs","","Treschkl. Ortsmitte","49.2254765","9.056105","","","","0",""
"de:08125:4627:0:>HN","","Treschkl. Ortsmitte","49.2257463","9.0556648","","","","0",""
"de:08125:4628:0:1","","Treschkl. Ortsmitte/Bürgerhaus","49.2258226","9.056069","","","","0",""
"de:08125:4628:0:2","","Treschkl. Ortsmitte/Bürgerhaus","49.2258461","9.0560062","","","","0",""
"de:08125:4629:0:1","","Bonfeld Biberacher Straße","49.2130726","9.0975443","","","","0",""
"de:08125:4629:0:2","","Bonfeld Biberacher Straße","49.2130491","9.0975532","","","","0",""
"de:08125:4630:0:1","","Bonfeld Rappenauer Str.","49.2141758","9.0943283","","","","0",""
"de:08125:4630:0:2","","Bonfeld Rappenauer Str.","49.2141817","9.0944451","","","","0",""
"de:08125:4631:0:1","","Fürfeld Untere Tor Straße","49.2094576","9.058737","","","","0",""
"de:08125:4632:0:1","","Fürfeld Volksbank","49.2104553","9.0596174","","","","0",""
"de:08125:4632:0:2","","Fürfeld Volksbank","49.2104729","9.0598869","","","","0",""
"de:08125:4633:0:1","","Kirchardt Grombacher Straße","49.2077146","8.9929175","","","","0",""
"de:08125:4633:0:2","","Kirchardt Grombacher Straße","49.207562","8.9927378","","","","0",""
"de:08125:4635","","Kirchardt Ortsmitte","49.2048681","8.9902135","","","","0",""
"de:08125:4635:0:1","","Kirchardt Ortsmitte","49.2050149","8.9903393","","","","0",""
"de:08125:4635:0:2","","Kirchardt Ortsmitte","49.2047273","8.9901147","","","","0",""
"de:08125:4636","","Bockschaft Ortsmitte","49.2034184","8.967064","","","","0",""
"de:08125:4636:0:1","","Bockschaft Ortsmitte","49.2034184","8.967064","","","","0",""
"de:08125:4637","","Berwangen Kirche","49.1841279","8.9811495","","","","0",""
"de:08125:4637:0:1","","Berwangen Kirche","49.1841338","8.9811495","","","","0",""
"de:08125:4641:0:1","","Flein Schulstr./Kellergasse (Ersatz)","49.099539","9.2131934","","","","0",""
"de:08125:4643:0:0","","Flein Heilbronner Straße","49.1032973","9.210202","","","","0",""
"de:08125:4643:0:1","","Flein Heilbronner Straße","49.1033737","9.2103727","","","","0",""
"de:08125:4646:0:1","","Flein Abzw Talheim","49.084762","9.2264884","","","","0",""
"de:08125:4646:0:2","","Flein Abzw Talheim","49.0848208","9.2267759","","","","0",""
"de:08125:4647:0:1","","Ilsfeld Abzw. Schozach","49.0725759","9.2341151","","","","0",""
"de:08125:4647:0:2","","Ilsfeld Abzw. Schozach","49.0725936","9.2342678","","","","0",""
"de:08125:4648:0:1","","Schozach Kirche","49.067138","9.2161039","","","","0",""
"de:08125:4648:0:2","","Schozach Kirche","49.0671556","9.2162746","","","","0",""
"de:08125:4649:0:1","","Ilsfeld Kelter","49.0551065","9.2429905","","","","0",""
"de:08125:4649:0:2","","Ilsfeld Kelter","49.0550829","9.2428737","","","","0",""
"de:08125:4651:0:1","","Ilsfeld Backhaus","49.0561132","9.2503567","","","","0",""
"de:08125:4651:0:2","","Ilsfeld Backhaus","49.0558953","9.2494853","","","","0",""
"de:08125:4652:0:1","","Ilsfeld Industrie","49.0588269","9.260831","","","","0",""
"de:08125:4652:0:2","","Ilsfeld Industrie","49.0589682","9.2617743","","","","0",""
"de:08125:4658:0:1","","Abstatt Industrie","49.077007","9.2904575","","","","0",""
"de:08125:4658:0:2","","Abstatt Industrie","49.0764539","9.2903227","","","","0",""
"de:08125:4659:0:1","","Abstatt Happenbacher Straße","49.0702866","9.2914636","","","","0",""
"de:08125:4659:0:2","","Abstatt Happenbacher Straße","49.0703337","9.2913827","","","","0",""
"de:08125:4661:0:1","","Abstatt Siedlung","49.0662787","9.2853461","","","","0",""
"de:08125:4661:0:2","","Abstatt Siedlung","49.0663199","9.2854539","","","","0",""
"de:08125:4662:0:1","","Abstatt Bosch Tor 6 (L1102)","49.0771129","9.3094209","","","","0",""
"de:08125:4662:0:2","","Abstatt Bosch Tor 6 (L1102)","49.07706","9.3095916","","","","0",""
"de:08125:4663:0:1","","Auenstein Abstatter Straße","49.0593744","9.2772522","","","","0",""
"de:08125:4664:0:1","","Auenstein Hauptstraße","49.0591212","9.2770726","","","","0",""
"de:08125:4664:0:2","","Auenstein Hauptstraße","49.0588563","9.2776744","","","","0",""
"de:08125:4665:0:1","","Auenstein Beilsteiner Straße","49.0585444","9.2806479","","","","0",""
"de:08125:4665:0:2","","Auenstein Beilsteiner Straße","49.058562","9.2806209","","","","0",""
"de:08125:4666:0:1","","Auenstein Helfenberger Straße","49.0588681","9.280567","","","","0",""
"de:08125:4667:0:1","","Auenstein Weinbergstraße","49.0602161","9.2899544","","","","0",""
"de:08125:4667:0:2","","Auenstein Weinbergstraße","49.0602573","9.2896939","","","","0",""
"de:08125:4668:0:1","","Helfenberg","49.060069","9.311505","","","","0",""
"de:08125:4668:0:2","","Helfenberg","49.0600513","9.3099419","","","","0",""
"de:08125:4669:0:1","","Abstetterhof","49.0427011","9.2736859","","","","0",""
"de:08125:4670:0:1","","Söhlbach","49.0553832","9.3155384","","","","0",""
"de:08125:4670:0:2","","Söhlbach","49.0550653","9.3155294","","","","0",""
"de:08125:4671:0:1","","Auenstein Eisenbahnstr. (Ersatz)","49.0583148","9.2793902","","","","0",""
