route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible
"vvs-31-385-1","Special","vvs-31-385-1-1-9-R-5-Special-8-1","vvs-31-385-1-1-9-R-5","Sulzbach (M)","5556601","1","","1"
"vvs-31-385-1","Special","vvs-31-385-1-1-9-R-5-Special-6-2","vvs-31-385-1-1-9-R-5","Sulzbach (M)","5556601","1","","1"
"vvs-31-385-1","Special","vvs-31-385-1-1-9-R-5-Special-9-3","vvs-31-385-1-1-9-R-5","Sulzbach (M)","5556601","1","","1"
"vvs-31-385-1","Special#2","vvs-31-385-1-1-8-R-6-Special#2-7-4","vvs-31-385-1-1-8-R-6","Sulzbach (M)","5556601","1","","1"
"vvs-31-385-1","Special#3","vvs-31-385-1-2-8-R-10-Special#3-7-5","vvs-31-385-1-2-8-R-10","Sulzbach (M)","5556601","1","","1"
"vvs-31-385-1","Special#4","vvs-31-385-1-2-8-R-10-Special#4-7-6","vvs-31-385-1-2-8-R-10","Sulzbach (M)","5556601","1","","1"
"vvs-31-385-1","Special#5","vvs-31-385-1-1-7-R-4-Special#5-15-7","vvs-31-385-1-1-7-R-4","Sulzbach (M)","5556605","1","","1"
"vvs-31-385-1","Special#2","vvs-31-385-1-1-7-R-4-Special#2-15-8","vvs-31-385-1-1-7-R-4","Sulzbach (M)","5556605","1","","1"
"vvs-31-385-1","Special#2","vvs-31-385-1-1-11-R-3-Special#2-16-9","vvs-31-385-1-1-11-R-3","Sulzbach (M)","5556609","1","","1"
"vvs-31-385-1","Special#5","vvs-31-385-1-2-11-R-9-Special#5-16-10","vvs-31-385-1-2-11-R-9","Sulzbach (M)","5556609","1","","1"
"vvs-31-385-1","Special#5","vvs-31-385-1-1-7-R-4-Special#5-17-11","vvs-31-385-1-1-7-R-4","Sulzbach (M)","5556625","1","","1"
"vvs-31-385-1","Special#2","vvs-31-385-1-1-7-R-4-Special#2-17-12","vvs-31-385-1-1-7-R-4","Sulzbach (M)","5556625","1","","1"
"vvs-31-385-1","Special#2","vvs-31-385-1-1-11-R-3-Special#2-18-13","vvs-31-385-1-1-11-R-3","Sulzbach (M)","5556629","1","","1"
"vvs-31-385-1","Special#5","vvs-31-385-1-2-11-R-9-Special#5-18-14","vvs-31-385-1-2-11-R-9","Sulzbach (M)","5556629","1","","1"
"vvs-31-385-1","Special#5","vvs-31-385-1-1-7-R-4-Special#5-4-15","vvs-31-385-1-1-7-R-4","Sulzbach (M)","5556633","1","","1"
"vvs-31-385-1","Special#2","vvs-31-385-1-1-7-R-4-Special#2-4-16","vvs-31-385-1-1-7-R-4","Sulzbach (M)","5556633","1","","1"
"vvs-31-385-1","Special#6","vvs-31-385-1-1-12-R-0-Special#6-23-17","vvs-31-385-1-1-12-R-0","Wüstenrot Neulautern","5556002","1","","1"
"vvs-31-385-1","Special#7","vvs-31-385-1-1-10-R-1-Special#7-12-18","vvs-31-385-1-1-10-R-1","Sulzbach (M)","5556002","1","","1"
"vvs-31-385-1","Special#8","vvs-31-385-1-1-10-R-1-Special#8-13-19","vvs-31-385-1-1-10-R-1","Sulzbach (M)","5556002","1","","1"
"vvs-31-385-1","Special#8","vvs-31-385-1-1-10-R-1-Special#8-14-20","vvs-31-385-1-1-10-R-1","Sulzbach (M)","5556002","1","","1"
"vvs-31-385-1","Special#8","vvs-31-385-1-1-10-R-1-Special#8-20-21","vvs-31-385-1-1-10-R-1","Sulzbach (M)","5556002","1","","1"
"vvs-31-385-1","Special#8","vvs-31-385-1-1-10-R-1-Special#8-22-22","vvs-31-385-1-1-10-R-1","Sulzbach (M)","5556002","1","","1"
"vvs-31-385-1","Special#8","vvs-31-385-1-1-10-R-1-Special#8-15-23","vvs-31-385-1-1-10-R-1","Sulzbach (M)","5556002","1","","1"
"vvs-31-385-1","Special#8","vvs-31-385-1-1-10-R-1-Special#8-16-24","vvs-31-385-1-1-10-R-1","Sulzbach (M)","5556002","1","","1"
